method,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
"naive, single-threaded",1.689938673377037e-7,2.3558089282058278e-7,3.3066024684906007e-7,5.245714681435985e-7,7.728098330497742e-7,1.6890492003059329e-6,3.1436211948394777e-6,8.85652431853075e-6,2.0330611694335938e-5,5.423262998249047e-5,0.00011386991607666016,0.00042398270498557886,0.0013781941044921876,0.00480266554290429,0.01196169219140625,0.040803313306666665,0.3190782553125,0.7796446056666667,2.800262818
"naive transpose, single-threaded",1.93202500551939e-7,2.5225657933745776e-7,3.6046447694301604e-7,5.633157372341243e-7,9.064281144142151e-7,2.074586535656824e-6,4.104286167144775e-6,1.1993616275439426e-5,2.8371055572509766e-5,8.831153846946132e-5,0.00020325620660400392,0.000626002152039555,0.0013046593017578124,0.004340426519801981,0.00983821222265625,0.032840001800000004,0.0754257668125,0.2534450848888889,0.6035237155
"blas, single-threaded",1.499194857776165e-7,1.819335264590962e-7,3.338853517770767e-7,4.034723431339928e-7,4.540608773231506e-7,7.969248416725239e-7,1.3421205005645753e-6,3.101471149606198e-6,7.158548614501953e-6,1.3065682305077762e-5,1.810603967285156e-5,7.23659009064689e-5,5.74489541015625e-5,0.0003446936221122112,0.0003862875390625,0.0010679422533333332,0.00784737378125,0.007733670444444444,0.01779705225
"octavian, 10 threads",7.898228359222412e-8,1.1713324012991884e-7,1.5808702838420867e-7,1.9535692752361382e-7,3.019181137084961e-7,4.319186855993109e-7,1.257881155014038e-6,1.5723831387657754e-6,4.417127464294434e-6,7.732465676176744e-6,1.0281708740234375e-5,3.7321756489493203e-5,9.301079833984376e-5,0.00019045820132013202,0.00023402352734375,0.0008256101866666667,0.00455183565625,0.0067658292222222225,0.016228812
"blas, 10 threads",8.991929244995117e-8,1.222436469487918e-7,2.4802399814128877e-7,2.988700407119174e-7,3.8392020893096923e-7,6.14526333195602e-7,1.2317973327636718e-6,2.5069527533964833e-6,5.813750518798828e-6,1.3267609666289011e-5,1.9760807556152344e-5,5.657392398022249e-5,6.11192685546875e-5,0.00016692641749174917,0.000400990671875,0.00109418032,0.00721622178125,0.008013958777777778,0.018033841
"octavian, single-threaded",1.6989565041661263e-7,2.0465451996411003e-7,3.056222767829895e-7,4.559672576647155e-7,6.66111647605896e-7,1.402803922972843e-6,1.6766734609603882e-6,2.2482325251296313e-6,5.5332496032714845e-6,1.5058435626738077e-5,1.3685042907714843e-5,5.755700185414091e-5,8.643243798828125e-5,0.00027570824257425744,0.00064295991796875,0.0021470274266666665,0.00564369653125,0.017479342444444445,0.04423452575
"C naive, 10 threads",3.27166e-05,3.35221e-05,3.3516e-05,3.365e-05,3.36824e-05,3.45257e-05,3.48991e-05,3.66134e-05,3.4883e-05,4.11117e-05,5.67344e-05,0.00013869,0.000564386,0.00195927,0.00424703,0.015359,0.0563639,0.159681,0.629116
"C naive, single threaded",9.76018e-09,2.06911e-08,4.37615e-08,1.21833e-07,2.68823e-07,8.35641e-07,2.21735e-06,7.39951e-06,1.67211e-05,5.18758e-05,0.000132495,0.000428024,0.00122873,0.00410999,0.00992969,0.0359381,0.259107,0.867429,2.59587

